rank,flat_element_index,displacement_angstrom,dft_h_eV,sr_fixed_lr_h_eV,full_h_eV,dft_derivative_eV_per_A,sr_derivative_eV_per_A,full_derivative_eV_per_A
1,738922,-0.03,-0.1097943369054285,-0.07269463436369496,-0.06244099146705297,3.584109796351608,2.283244509600548,1.998778442221125
1,738922,-0.0275,-0.100819334633999,-0.06695542195383311,-0.05743139188998282,3.595931786993533,2.30801256868174,2.00904567678444
1,738922,-0.025,-0.09181461671244721,-0.06115487590922745,-0.0523949903255201,3.607748825163159,2.332394535775853,2.020270433441713
1,738922,-0.0225,-0.08278064192474537,-0.05529385421552877,-0.04732924977539842,3.619560910860489,2.356390410882895,2.032452712192943
1,738922,-0.02,-0.07371681638238858,-0.04937325251913155,-0.04223187514583447,3.6313503050692,2.380020954526067,2.045566664271688
1,738922,-0.0175,-0.06462375846412934,-0.04339408625478797,-0.03710052423434115,3.643184759821793,2.403230605283305,2.059652855926414
1,738922,-0.015,-0.0555010346925847,-0.03735746665436007,-0.03193264580031624,3.655035172324709,2.425994398958574,2.074885279519249
1,738922,-0.0125,-0.0463484917315932,-0.03126452375166661,-0.02672520252276371,3.666939586471519,2.448285318295969,2.091412241958503
1,738922,-0.01,-0.03716629842780649,-0.02511644682254421,-0.02147475538311347,3.678837018392586,2.47007870822953,2.109215763409392
1,738922,-0.0075,-0.02795436852113015,-0.01891457532877914,-0.0161784335355496,3.690724730708834,2.491338531102023,2.128006686638253
1,738922,-0.005,-0.01871263956143276,-0.01266022380270181,-0.0108342383920645,3.70260160136091,2.512028929628191,2.147365640990709
1,738922,-0.0025,-0.009441290354733354,-0.006354872918243618,-0.005441434840551582,3.71451377442418,2.532141324799588,2.166854472655117
1,738922,0,-0.0001402107765517763,3.29683533030867e-16,-6.41554899600979e-17,3.726422958251881,2.551688269348384,2.186096855339166
1,738922,0.0025,0.009190935424211807,0.006403042214505494,0.005489078438797167,3.738347558971213,2.570672983358899,2.204973406153758
1,738922,0.005,0.0185515450255471,0.01285284051077653,0.0110248269463524,3.75025412299031,2.589043030751253,2.223615378430885
1,738922,0.0075,0.0279421314246784,0.01934773271726713,0.01660729960138165,3.762166929690146,2.606736343210105,2.242392584052698
1,738922,0.01,0.0373624574199518,0.02588592836494072,0.02223721272707659,3.774118878889278,2.623711405431123,2.261703432178595
1,738922,0.0125,0.04681271145021706,0.03246567891075155,0.02791640114729298,3.786058621881201,2.639954076246366,2.281892159367213
1,738922,0.015,0.05629282317404072,0.03908508445307508,0.0336473485817283,3.798076134539898,2.655450394190298,2.303157850658784
1,738922,0.0175,0.0658029528664878,0.04574227121152786,0.03943288193700305,3.810061680298657,2.670174498350427,2.325442805150177
1,738922,0.02,0.07534333223251215,0.05243529797405159,0.04527527402158375,3.822063840120463,2.684102511142244,2.348552573043747
1,738922,0.0225,0.08491325187127434,0.05916211312252018,0.05117623353866031,3.8340823693188,2.697208477248458,2.372283862298171
1,738922,0.025,0.09451367901149851,0.06592063483968476,0.05713718902201367,3.846181067364335,2.709465254852768,2.396510473947163
1,738922,0.0275,0.1041442780007353,0.07270877548896928,0.06315938211900578,3.858341045451692,2.720884089975656,2.421290464256016
1,738922,0.03,0.113805414287902,0.0795243564589283,0.06924406444405881,3.870562303580877,2.731464982617123,2.446623833224726
2,757400,-0.03,-3.00310798713912,-3.009126233866077,-3.021217628187547,-1.180349737753329,-0.8973955514439456,-0.3636065754846956
2,757400,-0.0275,-3.006056301455602,-3.011371246927323,-3.022187579322613,-1.17828991064578,-0.8947050648939653,-0.3963575696293883
2,757400,-0.025,-3.008999380998918,-3.013598945793898,-3.023213163617107,-1.17617012918087,-0.8906978210497221,-0.4361319472214473
2,757400,-0.0225,-3.011937117795328,-3.015817655523077,-3.024343807668101,-1.173990393358508,-0.8853738199113081,-0.4829297082608264
2,757400,-0.02,-3.014869264355576,-3.018026606383135,-3.025627630795508,-1.171754762667433,-0.8793554393835166,-0.5471602579174828
2,757400,-0.0175,-3.017795820612008,-3.020214695714535,-3.02706852630749,-1.169448189786692,-0.8710783720022732,-0.6045277556213478
2,757400,-0.015,-3.02071649033682,-3.022377591883106,-3.028618393102532,-1.167073142384993,-0.8608025971386155,-0.6226463642156546
2,757400,-0.0125,-3.023631100934067,-3.024516869303222,-3.030163629055336,-1.164620363387712,-0.8480888654780188,-0.5847264356293067
2,757400,-0.01,-3.02653954543719,-3.026618268880556,-3.031510425467589,-1.162114514574228,-0.8345077190945744,-0.4897142885167796
2,757400,-0.0075,-3.029441618315551,-3.028675010944607,-3.032589080074851,-1.15954140457626,-0.8123163153607038,-0.364408557094805
2,757400,-0.005,-3.032337210402141,-3.030685897338393,-3.033320236483689,-1.156906636747806,-0.7793440169512564,-0.2167429903656739
2,757400,-0.0025,-3.035226098262948,-3.032582369245213,-3.033758511030389,-1.154214780886491,-0.7474995021208315,-0.1210090086304945
2,757400,0,-3.038108231433138,-3.034402667700862,-3.033902426752193,-1.151464019389493,-0.7239486380159406,-0.1047097889503448
2,757400,0.0025,-3.040983401730716,-3.036207540744868,-3.034324674398936,-1.148668899013501,-0.707039706167393,-0.1740564225799517
2,757400,0.005,-3.043851518012427,-3.037951336667122,-3.034865706369844,-1.145828805886083,-0.6854660112791748,-0.300727037924446
2,757400,0.0075,-3.046712521897563,-3.039627590037998,-3.035789843288911,-1.142956607914527,-0.659840220801243,-0.4357025169011308
2,757400,0.01,-3.049566283072112,-3.041250332714493,-3.037061778889112,-1.140054780051457,-0.6384680671207548,-0.5741284087353051
2,757400,0.0125,-3.052412747434767,-3.042823861418344,-3.038631163525823,-1.137116550948861,-0.6205538288228922,-0.6600685600518545
2,757400,0.015,-3.055251862007995,-3.044354300281114,-3.040330353659974,-1.134150167834377,-0.6051036587772387,-0.6847218546820955
2,757400,0.0175,-3.058083475250188,-3.045850605286294,-3.042016812793315,-1.13116003512215,-0.5918567857855237,-0.6469422242050769
2,757400,0.02,-3.060907610094666,-3.047316028864452,-3.043544847309495,-1.128139573682802,-0.5800271638592562,-0.5705432931508767
2,757400,0.0225,-3.063724181809825,-3.048752021008843,-3.044851592072109,-1.125095095333847,-0.5693840698689883,-0.4824521643958519
2,757400,0.025,-3.066533040800695,-3.050163840685038,-3.045954312662931,-1.122011617543148,-0.560543419135925,-0.4129994649269678
2,757400,0.0275,-3.069334203259748,-3.051555870770134,-3.046893898829597,-1.118892854258128,-0.5533579450584888,-0.3504096769334794
2,757400,0.03,-3.072127491441169,-3.052932205235375,-3.047719848721825,-1.115738805478834,-0.5478276476368275,-0.2946828004156425
3,739466,-0.03,-0.04347485777733326,-0.0213059507914228,-0.01304352334284114,1.457014655134536,0.6668921510476084,0.3938956704370151
